resultId,raceId,driverId,constructorId,number_x,grid,position_x,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3
1006,64,33,13,18.0,18,,D,22,0.0,66,,,46.0,16.0,01:18.7,209.182,2,1004,18,20,1:17.836,,
1007,65,18,11,12.0,14,1.0,1,1,10.0,70,52:20.9,6740941.0,57.0,4.0,01:25.1,185.236,1,1010,12,4,1:20.820,1:19.943,1:20.092
1008,65,37,1,4.0,4,2.0,2,2,8.0,70,30.837,6771778.0,67.0,2.0,01:24.3,187.055,1,1011,4,5,1:21.288,1:19.991,1:20.117
1009,65,2,2,16.0,10,3.0,3,3,6.0,70,43.822,6784763.0,65.0,7.0,01:25.8,183.816,1,1017,16,11,1:21.437,1:20.623,
1010,65,22,11,11.0,3,4.0,4,4,5.0,70,45.205,6786146.0,69.0,3.0,01:24.7,186.253,1,1009,11,3,1:21.141,1:19.783,1:20.085
1011,65,14,9,14.0,12,5.0,5,5,4.0,69,,,65.0,10.0,01:27.6,180.098,11,1019,14,13,1:21.163,1:20.890,
1012,65,23,7,7.0,6,6.0,6,6,3.0,69,,,65.0,5.0,01:25.2,185.01,11,1013,7,7,1:21.112,1:20.243,1:20.759
1013,65,13,6,6.0,2,7.0,7,7,2.0,69,,,65.0,1.0,01:23.5,188.845,11,1008,6,2,1:19.742,1:19.504,1:19.886
1014,65,30,6,5.0,11,8.0,8,8,1.0,67,,,57.0,11.0,01:27.8,179.561,49,1018,5,12,1:21.440,1:20.875,
1015,65,33,13,18.0,16,9.0,9,9,0.0,67,,,66.0,13.0,01:28.2,178.86,13,1022,18,16,1:22.009,1:23.767,
1016,65,27,13,19.0,22,10.0,10,10,0.0,67,,,67.0,8.0,01:26.1,183.141,13,1027,19,21,1:23.146,,
1017,65,26,5,21.0,20,11.0,11,11,0.0,66,,,66.0,9.0,01:26.2,182.861,14,1025,21,19,1:22.317,,
1018,65,15,7,8.0,8,12.0,12,12,0.0,65,,,58.0,6.0,01:25.8,183.863,5,1015,8,9,1:21.434,1:20.231,1:21.132
1019,65,11,8,22.0,19,13.0,13,13,0.0,65,,,53.0,15.0,01:31.0,173.396,15,1026,22,20,1:22.967,,
1020,65,4,4,1.0,15,,R,14,0.0,51,,,50.0,14.0,01:29.4,176.4,30,1021,1,15,1:21.792,1:21.364,
1021,65,8,1,3.0,1,,R,15,0.0,25,,,7.0,16.0,01:33.7,168.338,4,1007,3,1,1:20.080,1:19.704,1:19.599
1022,65,24,5,20.0,17,,R,16,0.0,25,,,8.0,19.0,01:38.9,159.537,4,1023,20,17,1:22.068,,
1023,65,3,3,10.0,18,,R,17,0.0,19,,,9.0,20.0,01:39.0,159.367,10,1024,10,18,1:22.084,,
1024,65,21,4,2.0,7,,R,18,0.0,18,,,9.0,17.0,01:35.5,165.061,20,1014,2,8,1:21.370,1:20.154,1:20.924
1025,65,32,9,15.0,13,,R,19,0.0,6,,,6.0,18.0,01:38.7,159.79,20,1020,15,14,1:22.027,1:21.207,
1026,65,17,3,9.0,5,,R,20,0.0,1,,,,,,,3,1012,9,6,1:21.335,1:20.047,1:20.266
1027,65,29,8,23.0,21,,R,21,0.0,0,,,,,,,5,1028,23,22,1:24.016,,
1028,65,9,2,17.0,9,,D,22,0.0,69,,,55.0,12.0,01:28.2,178.909,2,1016,17,10,1:20.891,1:20.256,1:22.049
1029,66,13,6,6.0,1,1.0,1,1,10.0,58,28:51.1,5331082.0,38.0,2.0,01:28.1,218.067,1,1029,6,1,1:27.306,1:27.059,1:26.907
1030,66,4,4,1.0,3,2.0,2,2,8.0,58,5.575,5336657.0,38.0,3.0,01:28.2,217.766,1,1031,1,3,1:27.861,1:26.917,1:27.321
1031,66,30,6,5.0,2,3.0,3,3,6.0,58,5.656,5336738.0,55.0,1.0,01:28.0,218.36,1,1030,5,2,1:27.385,1:25.850,1:27.284
1032,66,18,11,12.0,6,4.0,4,4,5.0,58,12.334,5343416.0,58.0,4.0,01:28.5,217.202,1,1035,12,7,1:28.222,1:26.872,1:27.790
1033,66,37,1,4.0,11,5.0,5,5,4.0,58,45.908,5376990.0,54.0,7.0,01:29.0,216.018,1,1040,4,12,1:28.403,1:27.897,
1034,66,21,4,2.0,4,6.0,6,6,3.0,58,46.594,5377676.0,29.0,5.0,01:28.5,217.026,1,1032,2,4,1:28.175,1:27.346,1:27.564
1035,66,23,7,7.0,15,7.0,7,7,2.0,58,59.337,5390419.0,58.0,8.0,01:29.1,215.715,1,1033,7,5,1:27.668,1:27.062,1:27.569
1036,66,22,11,11.0,13,8.0,8,8,1.0,58,60.034,5391116.0,26.0,6.0,01:28.7,216.568,1,1042,11,14,1:28.411,1:28.257,
1037,66,15,7,8.0,12,9.0,9,9,0.0,57,,,24.0,13.0,01:30.0,213.406,11,1041,8,13,1:28.549,1:27.973,
1038,66,17,3,9.0,9,10.0,10,10,0.0,57,,,50.0,15.0,01:30.1,213.311,11,1038,9,10,1:28.307,1:27.608,1:29.436
1039,66,32,9,15.0,10,11.0,11,11,0.0,57,,,26.0,11.0,01:30.0,213.46,11,1039,15,11,1:28.271,1:27.852,
1040,66,9,2,17.0,8,12.0,12,12,0.0,57,,,34.0,9.0,01:29.7,214.179,11,1037,17,9,1:28.212,1:27.405,1:28.167
1041,66,26,5,21.0,17,13.0,13,13,0.0,57,,,43.0,10.0,01:29.9,213.679,11,1046,21,18,1:29.158,,
1042,66,2,2,16.0,5,14.0,14,14,0.0,56,,,56.0,16.0,01:30.3,212.728,12,1034,16,6,1:28.200,1:27.251,1:27.785
1043,66,14,9,14.0,16,15.0,15,15,0.0,55,,,24.0,12.0,01:30.0,213.458,6,1045,14,17,1:29.136,,
1044,66,27,13,19.0,22,,R,16,0.0,46,,,35.0,17.0,01:30.4,212.568,20,1044,19,16,1:29.021,1:28.639,
1045,66,11,8,22.0,21,,N,17,0.0,41,,,33.0,18.0,01:31.8,209.301,50,1050,22,22,1:30.850,,
1046,66,3,3,10.0,14,,R,18,0.0,25,,,21.0,14.0,01:30.1,213.351,47,1043,10,15,1:28.889,1:28.386,
1047,66,29,8,23.0,20,,R,19,0.0,23,,,12.0,20.0,01:32.3,208.115,20,1049,23,21,1:30.607,,
1048,66,24,5,20.0,18,,R,20,0.0,12,,,12.0,19.0,01:32.1,208.542,20,1047,20,19,1:29.250,,
1049,66,8,1,3.0,7,,R,21,0.0,1,,,,,,,4,1036,3,8,1:28.236,1:27.202,1:27.866
1050,66,33,13,18.0,19,,R,22,0.0,0,,,,,,,4,1048,18,20,1:29.901,,
1051,67,30,6,5.0,2,1.0,1,1,10.0,53,14:52.0,4491975.0,14.0,2.0,01:22.6,252.555,1,1052,5,2,1:21.711,1:21.353,1:21.486
1052,67,8,1,3.0,1,2.0,2,2,8.0,53,8.046,4500021.0,13.0,1.0,01:22.6,252.604,1,1051,3,1,1:21.994,1:21.349,1:21.484
1053,67,9,2,17.0,6,3.0,3,3,6.0,53,26.414,4518389.0,21.0,4.0,01:23.1,250.927,1,1056,17,6,1:22.437,1:21.270,1:22.258
1054,67,21,4,2.0,9,4.0,4,4,5.0,53,32.045,4524020.0,25.0,8.0,01:23.6,249.408,1,1059,2,9,1:22.486,1:21.722,1:23.175
1055,67,18,11,12.0,5,5.0,5,5,4.0,53,32.685,4524660.0,51.0,7.0,01:23.5,249.704,1,1055,12,5,1:22.512,1:21.572,1:22.011
1056,67,22,11,11.0,8,6.0,6,6,3.0,53,42.409,4534384.0,27.0,10.0,01:23.8,248.881,1,1058,11,8,1:22.640,1:21.688,1:22.787
1057,67,15,7,8.0,11,7.0,7,7,2.0,53,44.662,4536637.0,25.0,11.0,01:23.9,248.659,1,1061,8,11,1:22.093,1:21.924,
1058,67,2,2,16.0,3,8.0,8,8,1.0,53,45.309,4537284.0,20.0,6.0,01:23.3,250.375,1,1053,16,3,1:21.764,1:21.425,1:21.653
1059,67,13,6,6.0,4,9.0,9,9,0.0,53,45.995,4537970.0,41.0,3.0,01:23.0,251.253,1,1054,6,4,1:22.028,1:21.225,1:21.704
1060,67,17,3,9.0,19,10.0,10,10,0.0,53,72.602,4564577.0,27.0,12.0,01:24.2,247.69,1,1069,9,19,1:23.341,,
1061,67,32,9,15.0,16,11.0,11,11,0.0,52,,,37.0,13.0,01:24.6,246.595,11,1066,15,16,1:22.898,,
1062,67,14,9,14.0,14,12.0,12,12,0.0,52,,,51.0,17.0,01:25.0,245.396,11,1064,14,14,1:22.618,1:22.589,
1063,67,26,5,21.0,15,13.0,13,13,0.0,52,,,50.0,18.0,01:25.1,245.079,11,1065,21,15,1:22.943,1:23.165,
1064,67,24,5,20.0,17,14.0,14,14,0.0,52,,,52.0,14.0,01:24.8,246.033,11,1067,20,17,1:23.043,,
1065,67,23,7,7.0,13,15.0,15,15,0.0,52,,,41.0,16.0,01:24.8,245.821,11,1063,7,13,1:22.622,1:22.280,
1066,67,11,8,22.0,21,16.0,16,16,0.0,51,,,15.0,21.0,01:25.7,243.414,12,1071,22,21,1:24.289,,
1067,67,27,14,19.0,18,17.0,17,17,0.0,51,,,17.0,20.0,01:25.5,243.932,12,1068,19,18,1:23.116,,
1068,67,33,14,18.0,20,,R,18,0.0,44,,,27.0,15.0,01:24.8,245.865,23,1070,18,20,1:23.920,,
1069,67,4,4,1.0,10,,R,19,0.0,43,,,38.0,5.0,01:23.1,250.896,5,1060,1,10,1:21.747,1:21.526,1:25.688
1070,67,37,1,4.0,7,,R,20,0.0,20,,,8.0,9.0,01:23.7,249.155,5,1057,4,7,1:22.422,1:21.878,1:22.280
1071,67,29,8,23.0,22,,R,21,0.0,18,,,15.0,22.0,01:26.5,240.962,9,1072,23,22,1:26.001,,
1072,67,3,3,10.0,12,,R,22,0.0,9,,,8.0,19.0,01:25.4,244.31,30,1062,10,12,1:22.581,1:22.203,
1073,68,30,6,5.0,6,1.0,1,1,10.0,56,37:32.7,5852747.0,50.0,2.0,01:38.6,199.117,1,1078,5,6,1:47.366,1:45.660,1:45.775
1074,68,4,4,1.0,1,2.0,2,2,8.0,56,3.121,5855868.0,49.0,1.0,01:37.6,201.09,1,1073,1,1,1:44.128,1:43.951,1:44.360
1075,68,21,4,2.0,2,3.0,3,3,6.0,56,44.197,5896944.0,53.0,6.0,01:39.3,197.555,1,1074,2,2,1:44.378,1:44.336,1:44.992
1076,68,18,11,12.0,4,4.0,4,4,5.0,56,72.056,5924803.0,51.0,5.0,01:39.2,197.806,1,1076,12,4,1:45.809,1:44.662,1:45.503
1077,68,37,1,4.0,7,5.0,5,5,4.0,56,77.137,5929884.0,45.0,3.0,01:39.1,197.92,1,1079,4,7,1:44.808,1:45.095,1:45.877
1078,68,22,11,11.0,3,6.0,6,6,3.0,56,79.131,5931878.0,52.0,9.0,01:39.7,196.729,1,1075,11,3,1:47.072,1:45.228,1:45.503
1079,68,2,2,16.0,8,7.0,7,7,2.0,56,91.979,5944726.0,53.0,4.0,01:39.2,197.89,1,1080,16,8,1:46.249,1:45.055,1:46.053
1080,68,17,3,9.0,14,8.0,8,8,1.0,56,103.588,5956335.0,44.0,12.0,01:39.9,196.418,1,1086,9,14,1:48.560,1:46.413,
1081,68,14,9,14.0,12,9.0,9,9,0.0,56,103.796,5956543.0,52.0,15.0,01:40.5,195.164,1,1084,14,12,1:45.931,1:45.968,
1082,68,24,5,20.0,13,10.0,10,10,0.0,55,,,53.0,18.0,01:41.7,192.936,11,1085,20,13,1:45.564,1:46.172,
1083,68,3,3,10.0,15,11.0,11,11,0.0,55,,,52.0,14.0,01:40.5,195.316,11,1087,10,15,1:47.535,1:47.419,
1084,68,38,9,15.0,10,12.0,12,12,0.0,55,,,52.0,10.0,01:39.8,196.627,11,1082,15,10,1:46.387,1:45.747,1:48.021
1085,68,9,2,17.0,9,13.0,13,13,0.0,55,,,51.0,13.0,01:40.2,195.857,11,1081,17,9,1:46.049,1:45.576,1:46.632
1086,68,26,5,21.0,11,14.0,14,14,0.0,55,,,49.0,8.0,01:39.7,196.863,11,1083,21,11,1:46.222,1:45.851,
1087,68,27,14,19.0,22,15.0,15,15,0.0,53,,,50.0,17.0,01:41.5,193.368,13,1094,19,22,1:49.542,,
1088,68,29,8,23.0,19,16.0,16,16,0.0,52,,,42.0,19.0,01:41.8,192.677,14,1091,23,19,1:55.560,,
1089,68,23,7,7.0,16,,R,17,0.0,49,,,47.0,11.0,01:39.8,196.583,51,1088,7,16,1:48.894,,
1090,68,13,6,6.0,20,,R,18,0.0,44,,,42.0,7.0,01:39.4,197.426,4,1092,6,20,1:47.231,1:45.970,
1091,68,15,7,8.0,17,,R,19,0.0,38,,,24.0,21.0,01:44.8,187.271,63,1089,8,17,1:49.098,,
1092,68,33,14,18.0,18,,R,20,0.0,37,,,35.0,22.0,01:45.4,186.259,20,1090,18,18,1:49.903,,
1093,68,8,1,3.0,5,,R,21,0.0,18,,,14.0,20.0,01:44.1,188.518,37,1077,3,5,1:44.909,1:45.622,1:45.754
1094,68,11,8,22.0,21,,D,22,0.0,55,,,48.0,16.0,01:40.9,194.57,2,1093,22,21,1:50.326,,
1095,69,4,4,1.0,5,1.0,1,1,10.0,53,23:52.4,5032413.0,14.0,1.0,01:32.7,225.572,1,1099,1,5,1:30.976,1:30.357,1:30.371
1096,69,13,6,6.0,1,2.0,2,2,8.0,53,16.151,5048564.0,37.0,3.0,01:33.3,224.073,1,1095,6,1,1:30.112,1:29.830,1:29.599
1097,69,21,4,2.0,6,3.0,3,3,6.0,53,23.953,5056366.0,13.0,7.0,01:33.6,223.432,1,1100,2,6,1:31.696,1:30.306,1:30.599
